WAREHOUSENAME, STYLE, COLOR, SIZE, DESCRIPTION, UPCCODE, ACTUALQTY, PENDINGPICKING, AVAILABLE, ACCOUNTNAME
Bergen Logistics NJ2, MCUSP1040-SD-B1-C2, DARK TAN, US6-S1, ESCALA DRESS S12, 9350561879975, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, MCUSP1040-TL-B1-C0, NAVY, US16-T1, ESCALA DRESS T10, 9350561889882, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, MC4B643-SD-B1-C0, CHRRY RD, US10-S1, SORRENTO DRESS S10, 9350756010459, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, MCUSP1026-TL-B1-C0, NAVY, US4-T1, SINEAD 2PC DRESS T10, 9350756069501, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, FPSS13062, RED, US2/AU6, After Light, 26760, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, FPSS13062, RED, US4/AU8, After Light, 26764, 2, 0, 2, Fame & Partners Inc

Bergen Logistics NJ2, FPSS13053, RED, US2/AU6, Imogen, 10986, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, FPSS13054, BLUE, US2/AU6, Graphic Doll, 11018, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 1310023CL, RED, US0/AU4, Odessa, 14717, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 1310023CL, BLACK, US2/AU6, Odessa, 42631, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 1310023CL, white, US2/AU6, Odessa, 63283, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 1310029CL, WHITE, US0/AU4, Tempest, 39573, 2, 0, 2, Fame & Partners Inc

Bergen Logistics NJ2, FPSS13053, RED, US0/AU4, Imogen, 14807, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 4B016DL, BLACK, US0/AU4, Starry Sky, 39401, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 4B016DL, BLACK, US2/AU6, Starry Sky, 15778, 2, 0, 2, Fame & Partners Inc

Bergen Logistics NJ2, 1310023CL, BLACK, US8/AU12, Odessa, 13017, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 1310023CL, white, US8/AU12, , 45513, 1, 0, 1, Fame & Partners Inc

Bergen Logistics NJ2, 1310023CL, black, US10/AU14, Odessa, 61240, 1, 0, 1, Fame & Partners Inc

