Account Name,Sku,Supplier Sku,Product Type,Description,SOH,Allocated,Available
Fame and Partners,39977,,,Valerie - US6/AU10 -lilac,1,0,1
Fame and Partners,40009-Old Size Grade,,,Tempest - US8/AU12 -white,1,0,1
Fame and Partners,40032,,,Allegra - US6/AU10 -black,2,0,2
Fame and Partners,40257,,,Solace - US4/AU8 -white,1,0,1
Fame and Partners,40416,,,Backless Dreamer - US4/AU8 -red,1,0,1
Fame and Partners,40472,,,Sweet Rebel - US4/AU8 -burgundy,1,0,1
Fame and Partners,40534-Old Sise Grade,,,Helena - US0/AU4 -cherry-red,1,0,1
Fame and Partners,40636-Old Size Grade,,,Wired Heart - US4/AU8 -white,1,0,1
Fame and Partners,40765,,,Valerie - US4/AU8 -blush,1,0,1
Fame and Partners,41064-Old Size Grade,,,Helena - US16/AU20 -cherry-red,1,0,1
Fame and Partners,41145,,,Allegra - US6/AU10 -forest-green,1,0,1
Fame and Partners,41448,,,Everett Lace - US4/AU8 -burgundy,2,0,2
Fame and Partners,41627,,,Leo - US4/AU8 -black,1,0,1
Fame and Partners,41749,,,Sierra - US2/AU6 -ivory,1,0,1
Fame and Partners,41820,,,Escala - US6/AU10 -dark-tan,1,0,1
Fame and Partners,41831,,,Escala - US4/AU8 -dark-tan,1,0,1
Fame and Partners,41931,,,Everett Lace - US6/AU10 -black,1,0,1
Fame and Partners,42046,,,Allegra - US0/AU4 -light-pink,1,0,1
Fame and Partners,42107,,,Everett Lace - US0/AU4 -burgundy,1,0,1
Fame and Partners,42552,,,Everett Lace - US4/AU8 -burgundy,1,0,1
Fame and Partners,42581,,,Gigi - US8/AU12 -nude,1,0,1
Fame and Partners,42846,,,Wild Cosmo - US2/AU6 -silver,1,0,1
Fame and Partners,42925,,,Allegra - US4/AU8 -light-pink,1,0,1
Fame and Partners,42983,,,Willow - US4/AU8 -black,1,0,1
Fame and Partners,43049,,,Maison Cape - US6/AU10 -navy,1,0,1
Fame and Partners,43325-Old Size Grade,,,Tempest - US2/AU6 -white,1,0,1
Fame and Partners,43552,,,Jaxton - US8/AU12 -silver,1,0,1
Fame and Partners,43865,,,Astrid - US6/AU10 -cherry-red,1,0,1
Fame and Partners,44168,,,Bexley - US2/AU6 -olive-shimmer,1,0,1
Fame and Partners,44224,,,Head Over Heels - US4/AU8 -burgundy,1,0,1
Fame and Partners,44392,,,Allegra - US8/AU12 -pale-pink,1,0,1
Fame and Partners,44560,,,Stella - US6/AU10 -peach,1,0,1
Fame and Partners,44944,,,Everett Lace - US4/AU8 -burgundy,1,0,1
Fame and Partners,45220,,,Megan - US0/AU4 -red,1,0,1
Fame and Partners,45334,,,Firefly - US0/AU4 -black,1,0,1
Fame and Partners,45377,,,Knox Two Piece - US6/AU10 -watercolour-camo,1,0,1
Fame and Partners,45385-Old Size Grade,,,Melissa - US6/AU10 -red,1,0,1
Fame and Partners,45545,,,Allegra - US4/AU8 -pale-pink,1,0,1
Fame and Partners,45587,,,Kennedy Grace - US2/AU6 -pale-grey,1,0,1
Fame and Partners,45686,,,Moonlight - US4/AU8 -pale-grey,1,0,1
Fame and Partners,45713,,,Imogen - US12/AU16 -white,1,0,1
Fame and Partners,45868-Old Size Grade,,,Tempest - US8/AU12 -burgundy,1,0,1
Fame and Partners,46168,,,Leo - US4/AU8 -ivory,1,0,1
Fame and Partners,46337,,,Ainsley - US4/AU8 -light-khaki,1,0,1
Fame and Partners,46341,,,Escala - US6/AU10 -dark-tan,2,0,2
Fame and Partners,46377,,,Everett Lace - US6/AU10 -burgundy,1,0,1
Fame and Partners,46489,,,Wren Multi Way Scarf Top - US0/AU4 -pale-blue-cotton-stripe,1,0,1
Fame and Partners,46530,,,In Dreams - US4/AU8 -white,1,0,1
Fame and Partners,46531-Old Size Grade,,,Odessa - US6/AU10 -black,1,0,1
Fame and Partners,46551,,,Escala - US4/AU8 -dark-tan,1,0,1
Fame and Partners,46554,,,Bella Vita - US4/AU8 -white,1,0,1
Fame and Partners,46557,,,Ada - US6/AU10 -light-nude,1,0,1
Fame and Partners,46564,,,Firedust - US8/AU12 -ivory,1,0,1
Fame and Partners,46567,,,Backless Dreamer - US4/AU8 -red,1,0,1
Fame and Partners,46604,,,Everett Lace - US2/AU6 -burgundy,1,0,1
Fame and Partners,46641,,,Lucy Two Piece - US4/AU8 -black,1,0,1
Fame and Partners,46643,,,Odessa - US10/AU14 -black,1,0,1
Fame and Partners,46686,,,Sheridan - US8/AU12 -blush,2,0,2
Fame and Partners,46692,,,Chelsea Queen - US8/AU12 -white,1,0,1
Fame and Partners,46779,,,Escala - US0/AU4 -dark-tan,1,0,1
Fame and Partners,46792,,,Rosemary - US4/AU8 -champagne,1,0,1
Fame and Partners,46817,,,Dragon Eyes Lace - US8/AU12 -black,3,0,3
Fame and Partners,46856,,,Everett Lace - US6/AU10 -burgundy,1,0,1
Fame and Partners,46874,,,Delaney Three Piece - US8/AU12 -navy,1,0,1
Fame and Partners,46896,,,Brooke Jumpsuit - US6/AU10 -black,32,0,32
Fame and Partners,46901,,,Rio - US4/AU8 -champagne,1,0,1
Fame and Partners,46902-Old Size Grade,,,Paradise Dream - US4/AU8 -ice-blue,1,0,1
Fame and Partners,46923,,,Dragon Eyes Lace - US4/AU8 -black,1,0,1
Fame and Partners,46992,,,Dragon Eyes Lace - US2/AU6 -black,1,0,1
Fame and Partners,47001,,,Gianna - US6/AU10 -navy,1,0,1
Fame and Partners,47033,,,Catalina - US8/AU12 -pale-blue,1,0,1
Fame and Partners,47043,,,Rebel Capri Two Piece - US8/AU12 -black,1,0,1
Fame and Partners,47048,,,Cici Jumpsuit - US8/AU12 -black,1,0,1
Fame and Partners,47054,,,TILBURY - US10/AU14 -champagne,1,0,1
Fame and Partners,47079,,,Romeo - US4/AU8 -black,1,0,1
Fame and Partners,47107,,,Matteah - US2/AU6 -white,1,0,1
Fame and Partners,47108,,,Dragon Eyes Lace - US2/AU6 -black,1,0,1
Fame and Partners,47145,,,TILBURY - US4/AU8 -pale-blue,1,0,1
Fame and Partners,47158,,,Serpentina - US12/AU16 -ivory,1,0,1
Fame and Partners,47160,,,Queen Of Peace - US8/AU12 -navy,1,0,1
Fame and Partners,47161,,,Dragon Eyes Lace - US4/AU8 -black,2,0,2
Fame and Partners,47192,,,Sweet Disposition - US4/AU8 -white,1,0,1
Fame and Partners,47195,,,Jacquie - US10/AU14 -navy,1,0,1
Fame and Partners,47206,,,Matteah Dress - US8/AU12 -ivory-and-navy,1,0,1
Fame and Partners,47236,,,Escala - US4/AU8 -dark-tan,1,0,1
Fame and Partners,47261,,,Decadent Floral Two Piece - US2/AU6 -black,1,0,1
Fame and Partners,47266,,,Tilbury - US4/AU8 -pale-grey,1,0,1
Fame and Partners,47270,,,Astrid - US6/AU10 -pale-pink,1,0,1
Fame and Partners,47283,,,Bella Vita - US12/AU16 -white,1,0,1
Fame and Partners,47303,,,Tilbury - US4/AU8 -champagne,1,0,1
Fame and Partners,47310,,,Cici Jumpsuit - US12/AU16 -black,1,0,1
Fame and Partners,47313,,,Tilbury - US12/AU16 -champagne,1,0,1
Fame and Partners,47370,,,Meredith - US6/AU10 -red,1,0,1
Fame and Partners,47371,,,Allegra - US6/AU10 -black,1,0,1
Fame and Partners,47400,,,Queen Of The Night - US12/AU16 -winter-grey,1,0,1
Fame and Partners,47402,,,Aliya - US14/AU18 -navy,1,0,1
Fame and Partners,47407,,,Firedust - US4/AU8 -ivory,2,0,2
Fame and Partners,47419,,,Tate - US6/AU10 -black,1,0,1
Fame and Partners,47430,,,Rio - US6/AU10 -champagne,1,0,1
Fame and Partners,47433,,,Remy - US6/AU10 -navy,1,0,1
Fame and Partners,47481,,,Escala - US2/AU6 -dark-tan,1,0,1
Fame and Partners,47484,,,Catalina - US2/AU6 -pale-blue,1,0,1
Fame and Partners,47487,,,Vivi - US2/AU6 -mushroom,1,0,1
Fame and Partners,47512,,,Tilbury - US2/AU6 -pale-grey,1,0,1
Fame and Partners,47509,,,Briley - US4/AU8 -black,1,0,1
Fame and Partners,47511,,,Sunday Dreamer - US8/AU12 -pale-grey,1,0,1
Fame and Partners,47526,,,Etro - US6/AU10 -dark-burgundy,1,0,1
Fame and Partners,47529,,,Odesza - US8/AU12 -ivory,1,0,1
Fame and Partners,47535,,,Flynn - US14/AU18 -teal,1,0,1
Fame and Partners,Q-46752,,,Q-Vivi - US6/AU10 -white,1,0,1
Fame and Partners,Green #2,,,Green #2 Pallet,1,0,1
Fame and Partners,Green #1,,,Green #1 Pallet,1,0,1
Fame and Partners,Storage Pallet,,,Storage Pallet,1,0,1
Fame and Partners,47572,47572,,Queen of the night US0/AU4 navy petite,1,0,1
Fame and Partners,47736,,,Sparrow US6/AU10 black,1,0,1
Fame and Partners,47661,,,Briley US8/AU12 ivory standard,1,0,1
Fame and Partners,47660,,,leo USA12/AU16 black petite,1,0,1
Fame and Partners,47546,,,about you AU12 gypsy queen,1,0,1
Fame and Partners,47624,,,Firedust US8/AU12 ivory,1,0,1
Fame and Partners,47770,,,Paxton AU20 Navy,1,0,1
Fame and Partners,47683,,,Cole US12/AU16 White tall,1,0,1
Fame and Partners,47684,,,siana US12/AU16 navy tall,1,0,1
Fame and Partners,47732,,,ainsley AU10 Light Khaki,1,0,1
Fame and Partners,47829,,,Astrid US10/AU14 cherry red,1,0,1
Fame and Partners,47541,,,Tempest US0/AU4 black remaove train,1,0,1
Fame and Partners,47679,,,Stella US10/AU14 navy overlay bodice and back panels,1,0,1
Fame and Partners,47687,,,Metz two piece US4/AU8 Navy,1,0,1
Fame and Partners,47697,,,"Shaylyn US2/AU6	 black petite",1,0,1
Fame and Partners,47851,,,"Tate	US8/AU12	Dusk (aka Pink)",1,0,1
Fame and Partners,Q-FAP,,,Unidentified Item - Please advise UPC code,55,0,55
Fame and Partners,Green #3,,,Green #3 Pallet,1,0,1
Fame and Partners,Charity Pallet,,,Fame and Partners pallet of stock to be donated to charity,4,0,4
Fame and Partners,48438,4B113,,Glacier - US6/AU10 - taupe,1,0,1
Fame and Partners,Q-FAP46817,Q-FAP46817,,francisco-grey-au8,1,0,1
Fame and Partners,Q-FAP48135,Q-FAP48135,,wyatt us10/au14,1,0,1
Fame and Partners,Q-FAP48212,Q-FAP48212,,jaxton us10/au14 silver,1,0,1
Fame and Partners,Q-FAP47996,Q-FAP47996,,queen of peace - us10/ au14 navy,1,0,1
Fame and Partners,Q-FAP48158,Q-FAP48158,,queen of peace- dark gold- au12,1,0,1
Fame and Partners,48881,USP1061,,Sheridan - US6/AU10 - blush,1,0,1
Fame and Partners,48882,USP1016,,Leo - US6/AU10 - black,1,0,1
Fame and Partners,Q-FAP44659,Q-FAP44659,,SUNDAY DREAMER- PALE GREY- AU10 ( QUARANTINED),1,0,1
Fame and Partners,Q-FAP47601,Q-FAP47601,,TILBURY-US6/AU10- TALL- CHAMPAGNE,1,0,1
Fame and Partners,Q-44244,Q-44244,,sarina- us2/ au6 petite- burgundy (Quarantined),1,0,1
Fame and Partners,48114,FP2045,,Tate Dress - US8/AU12 - black,1,0,1
Fame and Partners,48895,USP1068,,Everett Lace - US8/AU12 - burgundy,1,0,1
Fame and Partners,48993,4B587,,Queen Of Peace - US4/AU8 - dark-gold,1,0,1
Fame and Partners,47874,FP2049,,Golden Era Two Piece - US16/AU20 - black,1,0,1
